#p*n,a(rad),a(deg),sin(),cos()
pi*0,0,0,0,1
pi/6,0.5236,30,0.5,0.866
pi/4,0.7854,45,0.7071,0.7071
pi/3,1.0472,60,0.866,0.5
pi/2,1.5708,90,1,0
Pi*2/3,2.0944,120,0.866,-0.5
Pi*3/4,2.3561,135,0.7071,-0.7071
Pi*5/6,2.6179,150,0.5,-0.866
pi,3.1416,180,0,-1
pi*7/6,3.6652,210,-0.5,-0.866
pi*5/4,3.927,225,-0.7071,-0.7071
pi*3/2,4.7124,270,-1,0
Pi*5/3,5.2359,300,-0.866,0.5
Pi*7/4,5.4977,315,-0.7071,0.7071
Pi*11/6,5.7595,330,-0.5,0.866
2*pi,6.2832,360,0,1
