#X         ,Y          ,Z          ,City
3134.061035,3713.916504,4117.144043,Baku
4428.623535,3128.329102,3347.530273,Jerusalem
4634.639160,1028.464844,4245.180176,Rome
2945.373535,1357.541382,5473.625000,Tallinn
4912.424805,-791.240417,3976.941162,Lisbon

